Pokorny_entry	English_gloss
1 ghrēu- : ghrəu- : ghrū-	to collapse, fall down
2 ghrēu- : ghrəu- : ghrū-	to crush, rub sharply
ghroud-	(round body part, e.g. cheek, bosom)
gu̯ā-, gu̯em-	to come, go
gu̯ā̆dh-	to dive, sink, submerge
1 gu̯ēbh-, or gu̯ābh-?, gu̯əbh-	to plunge, dive in
2 gu̯ēb(h)-	slimy; frog
gu̯edh-	to hit, push; harm, injure
1 gu̯ei-	to cry, weep, complain
2 gu̯ei-	to enclose, push together
3 gu̯ei̯-, and gu̯ei̯ə-	to live, survive
gu̯ēi-, or gu̯ei̯ə- : gu̯ī-	hide, skin
gu̯eid(h)-	mud
gu̯ei̯ə-	to prevail, overpower, be mighty
1 gu̯el-	to stab; pain, death, quell
2 gu̯el-, gu̯elə-, gu̯lē-	to flow, drip down; throw
3 gu̯el-, gu̯el-, gu̯lā-	acorn, valonia; oak?
gu̯elbh-	womb, uterus; young animal
gu̯em-	to go, come
gu̯ē̆nā	wife, queen, woman
1 gu̯er-, gu̯erə-	to swallow; craw, gorge, throat
2 gu̯er-, gu̯erə-, gu̯erəu-, gu̯erī-	grave, heavy
3 gu̯er-, gu̯or-	mountain
4 gu̯er(ə)-	to praise, congratulate, raise one's voice
g̑u̯er-, g̑u̯erə-	to burn, be hot
gu̯eru-	pole, spit
gu̯es-, zgu̯es-	to quench, extinguish
gu̯es-, gȗos-, gus-, extended gu̯oz-do-	leaves, branches
1 gu̯et-	resin
2 gu̯et-	to speak, talk
gu̯et-	swelling
gu̯ii̯ā, gu̯ii̯ós	sinew
gu̯is-ti-s	finger
gu̯īu̯-	resin
gu̯l̥tur(os)	vulture
gu̯or-gu̯(or)o-	dirt, dung
gu̯ou-	cow, ox, gaur
gu̯ōu-, gu̯ū-	dirt, dung
gu̯ozd(h)o-, gu̯ozd(h)i-	nail, penis
gu̯rebh-	young, embryo
gu̯reig̑-	to sleep, dream
gu̯rendh-	to swell; breast
gu̯retso-	big, thick, gross
gu̯rēug̑h-, gu̯rū̆g̑h-	to bite, grind one's teeth
gu̯hðei(ə)-	to destroy, perish
gu̯hðer-	to flow, run
gu̯hedh-	to ask, beg, wish for
*gu̯hēi- : gu̯həi-, gu̯həi-d- : gu̯hīd-	bright, shining
gu̯heiə- : gu̯hī-	vein, sinew, tendon
gu̯hel-	to want, wish
g̑hu̯el-	to bend, swerve
g̑hu̯elg-	to glance, look at
gu̯hemb-	to hop, spring (happily)
g̑hu̯en-	to sound
1 gu̯hen-	to swell, abound
2 gu̯hen(-ə)-	to hit, strike, fend
g̑hu̯ē̆r-	wild animal
gu̯her-	warm, hot
g̑hu̯oigu̯-	to shine; star
g̑hu̯ōku̯-, g̑hu̯əku̯-	to shine, shimmer
gu̯hrē-	to scent, smell
gu̯hren-	diaphragm; mind, soul
hā̆	(surprise: ha! oh!)
ha ha!	(laughter)
īl-, īlu-	dirt, mud; black
īli-	groin, intestines
i̯ā- : i̯ō-	to punish, be angry, excited
i̯ā-	to go
i̯ag-	to worship, venerate
i̯agh-	to hunt, wish for
i̯āi	(demonstrative stem: one, this, etc.)
i̯ā̆m-, or i̯em- : i̯em- : i̯ōm-	to dig
i̯ām	(demonstrative stem: one, this, etc.)
i̯ē- : i̯ə-	to do, throw, project
i̯ebh-	to copulate
i̯eg-	ice, icicle
i̯ēgu̯ā	force, strength
i̯ek-	to speak
i̯ēk- : i̯ək-	to heal
i̯ē̆ku̯-r̥(t-), genitive i̯eku̯-n-és	liver
iēlo- : i̯əlo-	raw, unripe
i̯em-	to hold, match, defeat, geminate; twin
i̯énəter-, weak case i̯enətr-, i̯n̥̄tr-	sister-in-law
i̯ē-ro-	year, summer
i̯es-	to boil, foam up
i̯et-	to set out, strive for
1 i̯eu-	to mix, mingle (of meal preparation)
2 i̯eu-, i̯eu̯ə-, i̯eu-g-	to yoke, join, tie together
3 i̯eu-	young
4 i̯eu-	to separate, hold apart
i̯eu-dh-	to fight, move swiftly
i̯eug̑-	to excite, arouse; unsteady
i̯eu-ni-, or i̯ou-ni-	the right place/way
i̯eu̯o-	grain, esp. barley
i̯eu̯os-	rule, right, justice, statute
i̯o-	(relative stem: one, this, etc.)
i̯oi-ni-	reed (bulrush)
i̯ork-	(type of deer)
i̯ou, i̯u	(demonstrative stem: one, this, etc.)
i̯ō[u]s- : i̯ūs-	belt; to gird
1 i̯u-	you (plural)
2 i̯ū̆	yowl (exclamation of joy/wonder)
kā-	to like, wish, desire
kā̆, ke, kom	well! (particle)
kā̆d-	to rob, harm, damage; chase
kadh-	to guard, cover, protect
1 k̑ad-	to fall
2 k̑ad-	to shine, sparkle
k̑ād- : k̑ədes- : k̑əd-s-	hate, displeasure, uneasiness
kag̑o-, masc., kag̑ā- fem.	goat
kagh- : kogh-	to sew, plait, etc.
kaghlo-	chalk, pebble
1 kai-, kai-u̯o-, kai-u̯elo-	alone
2 kai	and
3 kā̆i-, kī̆-	heat
4 kāi-d-, kāi-t-	bright, shining
kai-ko-	one-eyed, cyclopean
kaik̑-, or koik̑-	to itch, scratch
kai-lo-, kai-lu-	bright; hale, whole, healthy
kais-	hair
kāi-t-	bright, shining
kaito-	chet, woods, forest
kaiu̯r̥-t, kaiu̯n̥-t	cleft, hollow, ravine
kakka-	to cack, defecate (nursery word)
kāk-	to croak; cracking sound
1 k̑ak-	to become thin
2 k̑ak-, k̑ek-?	to help, enable
1 k̑āk- : k̑ək-, probably k̑ā[i]k- : k̑īk-	to jump, spring out
2 k̑ā̆k-	branch
1 kal-	hard, callous; blister
2 kal-, kali-, kalu-	handsome, beautiful; healthy
3 kā̆l-, kō̆l-?	to be captured; prison
kalni-	narrow path/passage
kam-er-	to bend, curve
kā̆m-	to like, wish, desire
kamb-	to bend, curve
kam-p-	to bend
kan-	to sing, chant, sound
kand-, skand-, and Indo-Iranian (s)kend-	to glow, shine; bright, candent
k̑ank-	to jump, spring out
kan-tho-	curve, angle, corner
kap-	to cop, grab, grasp; have?
kāp-, kəp-	piece of land
kā̆po-	thing in the water
kapro-	he-goat
kap-ut	head
kā̆pho-, or k̑ō̆pho-	hoof
1 kar-	to scold, punish, revile
2 kar-, karə-	to glorify, praise aloud
3 kar-, reduplicated karkar-	hard
kār-	wax
kars-	to rub, scratch
k̑as-, k̑as-no-	gray
k̑ās-, k̑əs-	to teach, show the way
1 kat-	to link, plait, weave; chain, net
2 kat-	to bear young; young animal
k̑at-	to fight, struggle; battle
kau-	to humble, discourage
kāu-, kəu-	to hew, cut, hit
kā̆u-, kē̆u-, kū-	to howl
kā̆u(ə)lā : kūlā	boil, abscess, swelling
kau-l-, ku-l-	hole, hollow; bone
kaus-	to draw lots
k̑e-	this
ked-	to smoke
keg-, keng-, and kek-, kenk-	peg, handle, (grappling) hook
kēi-	to move, set in motion
1 k̑ei-	to lie, recline; camp, home
2 k̑ei-	(dark color: brown, gray)
k̑ē(i)- : k̑ō(i)- : k̑ə(i)-	to hone, whet, sharpen
k̑ēi-bh-	fast, hasty, violent
keid-	to fall
k̑ēi-gh-	fast, hasty, violent
k̑eip-	to slant, slope; to wag, wave
k̑eipo-, k̑oipo-	peg, stake, sharp wood/stone chip/piece
keis-	arm; thigh, shin
kek̑-	weasel
keku-	cudgel, hammer-shaped stick
k̑ēko-	green grass/fodder
k̑eku̯-	to defecate; dung, excrement
1 kel-, kelə-	to project, tower up; hill
2 kel-	to stab, stick, sting
3 kel-, kelə-, klā-, extended klād-	to hit, hew, cut down
4 kel-, and kāl-	light and dark spots
5 kel-	to drive, compel, accelerate, move quickly
6 kel-, k(e)lē-, k(e)lā-, or kl̥̄-?	to call, cry
7 kel-, kol-, kol-	calix, chalice, goblet, beaker
8 kel-	to cut
9 kel-	to owe, be guilty
10 kel-	to dry out
11 kel-	to bend; crooked
kēl-, kōl-, kəl-	to deceive, dumbfound, enthrall
1 k̑el-	cold; warm, caloric
2 k̑el-	to bow, lean, incline
3 k̑el-	thin shaft, stalk
4 k̑el-	to hide, conceal
k̑elb-, k̑elp-	to help
keleu-	to wander; way, path
keləu̯o-, keleu̯o-	bald, bare
kelg-	to wind around; windings, intrigue
kelp-, kl̥p-	jug, pot, cauldron
1 kem-	to squeeze, hem in, press together
2 kem-	to hum, buzz, croon
1 k̑em-, or k̑am-	horn, pole, stick
2 k̑em-	hornless (normally horned) animal
3 k̑em-	to wrap, cover, conceal
4 k̑em(ə)-	to be/make tired
kemə-, komə-, kmā-	bite, piece
kemero-, komero-, kemero-	(plant name)
kemer-	armored animal (crab, turtle, etc.)
1 ken-	to pinch, press, etc.
2 ken-, kenə-, keni-, kenu-	to rub, scrape, scratch off; ashes
3 ken-	to begin, be born, come forth anew; young, recent
4 ken-	to strain, strive eagerly
k̑en-	void, empty
kenəkó-	golden, honey-colored
keng-, kenk-	peg, handle, (grappling) hook
1 kenk-	to bind, gird
2 kenk-	to burn, hurt; dry feeling: thirst, hunger
3 kenk-	heel, hock, back of knee
k̑enk-, k̑onk-	to hang, sway, dangle
k̑ens-	to announce, proclaim, speak formally
kenth(o)-	rag, cloth
k̑ent-	to stab, stick
1 ker-, kor-, kr-	(onomatopoeic: hoarse sound)
2 ker-	to cut
3 ker(ə)-	to burn
4 ker-	cherry
5 ker-?, kō̆r-	to hang
6 ker-, and k̑er-	dirty, dark-colored, etc.
7 ker-	to jump, turn
1 k̑er-, k̑erə- : k̑rā-, k̑erei-, k̑ereu-	horn, head, upper part of body
2 k̑er-, k̑erə-, k̑rē-	to grow, increase
3 k̑er-	rope, string; to plait, weave
4 k̑er-, and k̑erə- : k̑rē-	to harm, injure; ruined, spoiled
k̑erbero-, and kerbero-	checkered, variegated
1 kerd-	to gird
2 kerd-	craft, talent; skilled
k̑erdho-, k̑erdhā	line, row, herd
k̑ered- : k̑erd-, k̑ērd-, k̑r̥d-, k̑red-	heart
kerem-, krem- : krom-, and kerm-	onion or garlic; ash (tree)
kerəp-, krēp-	cloth, leather rag; shoe
kerk̑- : kork̑- : kr̥k̑-	to wrinkle, shrivel up
k̑erə-, k̑rā-	to cook
kerm-	to rest, tire
kerno-	jaw, chin(bone)
k̑ē-ro-	colorful (or a color term)
kers-	black, dirty; dark color
1 k̑er(s)-	bristle, stiff hair
2 k̑ers-	to run, course
kert-, kerət-, krāt-	to roll, turn, wind
kes-	to comb, itch, scratch
k̑es-	to cut
kē̆t-, kot-	room, dwelling place
1 keu-, skeu-, lengthened grade kēu-	to see, hear, observe, hearken, attend to
2 keu-, keu̯ə-	to bend
1 k̑eu-, k̑eu̯ə- : k̑ū-, k̑u̯ā-	to swell
2 k̑eu-	to shine, be bright
1 k̑ēu- : k̑ū-	to sway, totter
2 k̑ēu- : k̑əu-, k̑ū-	to burn, light (a fire)
k̑eub-	thorn
keuəd-, kū̆d-	to cry, shout
keu̯əp- : ku̯ēp-, ku̯əp-, kū̆p-, and occasionally keu̯(e)p-, k(e)u̯ep-	to boil, cook, smoke
k̑ēu̯ero-, k̑ōu̯ero-, also sk̑ūro-?	north (wind)
k̑euk-	to glow, shine, be bright white
k̑euk̑-, k̑uk̑-	to whirl, mix together
kik-	jay (bird)
1 k̑ik-	belt, strap, thong
2 k̑ī̆k-	to rain, drizzle
k̑ik̑er-	pea
k̑īō̆n-, k̑īsō̆n-?	pillar
k̑iph-	thin flexible twig/root
kistā	basket, plaited container
klā-	to lade, place, heap up, lay down
klādhrā	alder (tree)
klau-	to weep
klēg-, klōg-, kləg-, klang-, kleg-, klōg-, kleig-, kleik-	to cry, shout, scream
k̑lei-	to lean, incline, tip (over)
kleik̑-	to press/squeeze (painfully)
klem-, klēm-, klem-	weak, slack, feeble, ailing
kleng-, and klenk-	to bend, wind
kleno-	maple (tree)
klep-	wet, damp
k̑lep-, sk̑lep-?	to steal, cover, secrete
klēp-	to hold in arms and/or lap
klēu-, also klĕu-?, and klāu-	hook, crook
1 k̑leu-, k̑leu̯ə- : k̑lū-	to hear, listen
2 k̑leu- : *k̑lō[u]- : k̑lū-	to clean, rinse, swill
k̑lou-ni-	hip, buttock
knei-gu̯h-, knei-b-	to bow, kneel
kneug-	(onomatopoeic: to growl, whimper)
knid-, k̑nid-, sknid-	nit, louse
k̑o-, k̑e-, with the particle k̑e, k̑(e)i-, k̑(i)i̯o-	this; here
kob-	to fit, fare well, be happy/successful
koi-, ku̯ī-	(creaking noise)
koi-lo-	naked; miserable
k̑oi-no-	grass
kois-	to cure, worry, care for
ko ko, kak(k)-, ku(r)kur-	(onomatopoeic: sound of cock/hen)
kok̑sā	body part: foot, coxa, etc.
kolə- : klō-	to spin
k̑oləmo-s, k̑oləmā	reed, stalk, stem, culm
kol(ē̆)i̯-	glue
koli-	young dog/animal
kom	at, by, cum, with, alongside
konəmo-, knāmo-, or kenəmo-	shinbone
k̑onk-	to doubt, vacillate
k̑onkho-	conch, clam(shell), mussel
k̑op(h)elo-s, or k̑ap(h)elo-s	(type of carp)
kopso-	blackbird
k̑orkā	grit, gravel
k̑ormen-	weasel
k̑ormno-, k̑r̥mno-	corrosive liquid: lye, wine, urine, etc.
k̑ormo-	harm, pain, torment, suffering
koro-s, kori̯o-s	war, army, warrior
kos(e)lo-	hazel (tree)
kost-	leg, bone, costa
k̑rā̆po-, k̑rō̆po-?	roof
k̑rā-	to cook, mix
krāt-	to roll, turn, wind
krā[u]- : krəu- : krū̆-	to heap up, pile together; heap; roof
k̑re-, k̑rei-, k̑r̥̄-	(hoarse sound)
k̑rē-	to harm, injure; ruined, spoiled
kreb-	(hoarse sound)
k̑rebh-, k̑rō̆bh-, k̑rembh-	to entrust
kred-	beams
k̑red-	heart
1 kreg-, and kerg-?	to torment
2 kreg-	(hoarse sound)
1 krei-	to brush, stroke, touch
2 krei-, kreig-, kreik-	(hoarse sound)
k̑rei-	to appear, show forth
1 krek-	to hit
2 krek-, kr̥k-	roe, fish/frog spawn
3 krek-	(hoarse sound)
4 krē̆k- : krok-	to tower, jut out; beams
krem-	onion or garlic; ash (tree)
1 krep-, kr̥p-	form; corpse, body
2 krep-	(hoarse sound)
1 krēp-	firm, strong
2 krēp-	cloth, leather; shoe
1 kret-	to shake
2 kret-	to hit
1 kreu-, kreuə- : krū-, kreus-, krus-	raw flesh, thick/clotting blood; ice, crust
2 kreu-	to crash, collapse, fall down
3 kreu-, krou-s-	to push, hit, break
4 kreu-	(hoarse sound)
kreup-	scab
kreu-t-, kreu-dh-?	to shake, move visibly
krom-	lattice, framework, wooden fence, etc.
kr(o)k-sko-	arm
k̑rūs-	leg, shank, thigh
krū̆t-	breast, belly; vault, protuberance
k̑sā-	to burn
kseip-, kseib-	to toss, throw
ks-en-, ks-es-, ks-eu-	to comb, itch, scratch
k̑sē̆-ro-	dry, xeric, bright (of weather)
kseubh-	to sway, swing, totter
kseud-	to grind, stamp to little pieces
k̑þei-	to settle
kþē(i)-, kþə(i)-	to gain, acquire, possess
ku-, kus-	to kiss
k̑ū-	sharp, pointed; pike, stake
k̑ū̆dh-	dirt, dung
kuku	(onomatopoeic: to coo, cuckoo)
k̑up-	shoulder
ku̯ak-	(onomatopoeic: to quack, croak)
ku̯at(h)-	to ferment, become sour
1 k̑u̯ei-, k̑u̯ei-no-	dirt, mud; to defile
2 k̑u̯ei-	to hiss, twitter, whistle, etc.
3 k̑uei-, extended kuei-d-, kuei-s-, kuei-t-	to shine; white
k̑u̯ek-, nasalized k̑u̯enk- : k̑uk-	to gape
k̑u̯el-	muddy
ku̯elək-, or kelək-, kolək-	bale, bundle
1 ku̯elp-, ku̯elb- : ku̯l̥p/b- : klup/b-	to stumble, buckle at the knees; to trot
2 ku̯elp-	to curve, vault
k̑u̯en-	to celebrate; saint
k̑u̯endh-ro-, -no-	(type of plant)
ku̯erp-, also ku̯erb-	to turn, wind
k̑u̯es-, k̑us-	to pant, puff, sigh, wheeze
ku̯ēt-, ku̯ət- : kū̆t-	to shake, winnow
ku̯oi-, ku̯ī-	to want, wish for
k̑u̯on-, k̑un-	hound, dog
ku̯res-, ku̯ers-, ku̯r̥s-	small wood, trees
kha kha	(laughter)
ku̯alo-s	(big fish)
ku̯as-i̯o-, -lo-	basket, plaited work
1 ku̯e	(enclitic) and
2 ku̯e-	(indefinite/interrogative pronoun)
ku̯ē̆d-, ku̯ō̆d-	to bore, drill, prick, stab
1 ku̯ei(-t)-	to observe with respect, pay attention to
2 ku̯ei-	to stow, gather, pile up
ku̯ei̯ə-, ku̯ii̯ē-	to rest comfortably; quiet, peaceful, tranquil
ku̯ek̑-, ku̯ōk̑-, ku̯ek̑-s-	to see, show, appear
1 ku̯el-, ku̯elə-	to turn; wheel; neck?
2 ku̯el-	far away
3 ku̯el-	crowd, herd, swarm
ku̯em-	to gulp, sip, swallow
ku̯ene	(particle: uncertainty, generalization)
ku̯enth-	to suffer, endure
1 ku̯er-	to do, make, form
2 ku̯er-	dish, pot
ku̯eru-	to chew, grind
ku̯etu̯er-, ku̯etu̯ō̆r-, ku̯etur- (masc.), ku̯etes(o)r- (fem.)	four, fourth
ku̯o-, ku̯e-, fem. ku̯ā, ku̯ei-	(indefinite/interrogative pronoun)
ku̯rei-	to buy
ku̯r̥mi-	grub, worm, maggot
ku̯sep-	dark
ku̯þei-	to destroy, perish
ku̯ās- : ku̯əs-	to cough
1 lā-, and lē-	(onomatopoeic: to bark, howl, etc.)
2 lā-	to be hidden, covered, latent
lab-, and labh-, lap(h)-	to lap, lick, smack (the lips), etc.
labh-	to grab, hold, seize
lā̆gh-	to cut; cutting tool
lāgu̯h-	to grab, seize
lai-	fat, lard
laidh-, lidh-	to cut, hurt, injure
laiu̯o-	(on the) left
lā[i]p-, ləip-, ləp-	to burn, shine
lak-	to lap, lick
lak̑-	to spot, sprinkle
laku-	(water in) lake, pond, ditch, etc.
lāmā	swamp, puddle
lāp-	cow
las-	greedy, covetous
lat-	wet, damp; swamp
lāu-	to acquire (as booty), enjoy something
lauk(o)-, ləuk-	jaw; throat
lē-	(onomatopoeic: to bark, howl, etc.)
lē̆b-, lō̆b-, lāb-, leb-	lip; to slump, hang down slackly
1 leg-	to leak, drip, dribble, ooze out
2 leg-	to worry
leg̑-	to gather, collect
legh-	to lie, recline, set down
1 lēg̑(h)- : ləg̑(h)-	branch, twig
2 lēg̑h- : ləg̑h-	to crawl; low
legu̯h-	to move easily
1 lē̆i-, lek-	to flex, bend
2 lei-	to dissipate, disappear; thin, weak
3 lei-	slimy; to slip, glide
4 lē̆i-	to pour
1 lē[i]- : ləi-	to want, wish
2 lē(i)-	to grant/acquire possession
3 lē(i)-	to weaken, leave behind; feeble
leibh-	to smear, stick
leid-	to play, joke
1 leig-, and leik-, better oleig-, oleik-	needy, miserable
2 lē̆ig-, līg-	form, appearance; like, similar
3 leig-, loig-	to hop, jump, tremble
4 leig-, leig̑-	to tie, bind, ligate
leig̑h-, sleig̑h-	to lick
1 leik-	to offer for sale
2 leik-	to bend
leiku̯-	to leave, relinquish
1 leip-	to smear (with fat), stick
2 leip-	to desire, request, wish for
leis-	to furrow; learn
1 leit-	to loathe, detest, abhor; violate
2 leit(h)-	to die, go away
leizd-, loizd-	edge, fringe, hem
1 lek-? : lok-	to blame, scold, reprove
2 lek- : lek-, and lēk- : lək-	joint, leg, body member; to bend, wind
1 lēk- : lək-	tendril; trap
2 lēk- : lək-	to lacerate, tear to pieces
1 lem-	to break, crush to pieces; lame, fragile
2 lem-	astonishment (with the notion of wide open jaws)
1 lendh-	spring (of water), wetness
2 lendh-	hip, loins; kidney
3 lendh-	heath, steppe, open land
leng-	to sway, bend oneself
lengh-	to scold, scorn
lenk-	to bend
lento-	lithe, flexible, pliable
1 lep-	(onomatopoeic root)
2 lep-	to flay, peel, skin
3 lep-	rock, stone
lēp-, lōp-, ləp-	flat
lerd-	to twist, shrivel up
lerg-	even, smooth, slippery
les-	to lease, collect, pick up
lēs : ləs-	weak, slack, feeble
leto-, lēti-, lēto-, lōto-	heat, burning, anger
lēto-, ləto-	daytime; summer, warm season
letro-	leather
1 leu-, *leu̯ə- : lū̆-	dirt
2 leu-	to free, cut off, separate
1 lēu-	to leave behind
2 lēu- : ləu-	stone
3 lēu-, or lāu-	(onomatopoeic: to bark, howl, etc.)
leubh-	to love, like, care for
leud-	to lout, bend over, duck down; bent, little, etc.
1 leudh-	to grow up; free; people
2 leu-dh-	to go, move, drive
1 leug-	to bend
2 leu-g- : lu-g- : lū-g-	blackish; swamp
leug̑-	to break
1 leugh-	to lie, belie, prevaricate
2 leugh-, lugh-	oath
leuk-	to light, shine; see
leup-, and leub-, leubh-	to lift, peel, cut/break off, etc.
lēut- : lūt-	angry, raging, wrathful
lī̆-no-	flax, linen
log̑-	rod, twig
lorgā-, lorgi-	stick, club
lou-, lou̯ə-	to lave, wash
lū̆s, genitive luu̯-ós	louse
1 mā-	to beckon, wave (hand); deceive
2 mā-	timely, opportune
3 mā	ma, mama (nursery words)
mad-	to drip; wet; fat, glossy, well-fed
magh- : māgh-	to help, be able; might, power
maghos	maiden, young person
mag̑-	to knead, press, stroke
mag̑h-	to fight, struggle
1 mai-	to maim, hew, cut with sharp instrument
2 mai-, moi-?	to smudge, stain
mak-	skin, leather bag
1 mā̆k-	wet, damp; to soak
2 māk-	to knead, press
mā̆k(en)-	poppy
mak̑o-, or mok̑-o-	fly, gnat
māk̑- : mək̑-	long and slender
makh-o-s	bold, wild, frisky, unbridled
mand-	pen/hurdle of plaited rods/twigs
mā-no-, mā-ni-	wet, damp
manu-s, or monu-s	man, human being
marko-	mare, horse
1 math-, or moth-	moth, harmful insect
2 mat-	club, hoe, mattock
mātér-	mother
mau-ro-	tired, weak; dark
mazdo-s	mast, pole
1 me-	me (1st pers. sg. oblique pronoun stem)
2 me-	by, with, amidst, around
1 mē-	(prohibitive particle: lest, that not)
2 mē-, m-e-t-	to mow, reap
3 mē-, m-e-t-	to measure
4 mē-, mō-	big, important
5 mē-, mō-, mə-	to be intent; of strong will
1 med-	to mete, allot; medicate, give advice
2 med-	to swell
medhi-, medhi̯o-	middle
médhu	mead, honey
mē̆gh-	friendly, well-disposed
meg̑(h)- : meg̑(h)-	big, much, great, major, mega-
1 mei-	to mure, repair, strengthen; pole
2 mei-	to change, mutate, exchange
3 mei-	to go, wander
4 mei-	to tie, bind
5 mei-, mi-neu-	to lessen, diminish; small, minor
6 mei-, mei̯u-, min(u)-, mim(ei)-	(onomatopoeic: high thin sound)
7 mēi- : mōi- : mī-	mild, soft
meigh-, also meik-	to flicker, twinkle; mist
meig̑h-	to micturate, urinate
mei-gu̯-	to (ex)change
mei-k̑-, and mei-g̑-?	to mix, mash, stir
mei-no-	view, opinion, intention
meis-	to flicker, twinkle; mist
1 meit(h)-	place to stay
2 mei-t(h)-	to commute, (ex)change
mek-	(onomatopoeic: to bleat)
1 mel-, also smel-, melə- : mlē-, mel-d- : ml-ed-, mel-dh-, ml-ēi- : mlī̆-, melə-k- : mlā-k-, mlēu- : mlū̆-	to mill, grind; fine, ground
2 mel-	to deceive
3 mel-	to hesitate
4 mel-	big, strong
5 mel-	limb; to join
6 mel-, melə-	dark color (black, dirty, etc.)
7 mel-	wool, woolen garment
8 mel-, melə- : mlō-	to appear, come forth
1 meldh-	to utter ritual words (to deity)
2 meldh-	lightning
mē̆lg̑-, or meləg̑-?	to milk, pluck, wipe off
melg̑h-	to swell
meli-t, genitive mel-nés	honey
1 melk-	to rub, stroke
2 melk-, melg-	wet
mēlo-, smēlo-	small animal
melōdh-, molədh-, molədh-	head; elevation
mels-	to taste
membh-	to reproach
mēmso-, mē(m)s-ro-	meat, flesh
1 men-	to rise, mount, tower
2 men-	to press, step on, tread down
3 men-	to think; mind, spiritual activity
4 men-	to diminish; small
5 men-	to stay, remain, stand still
mend-, mond-, mn̥d-?	to feed, suck(le); breast
mendā	flaw, defect, mistake
mendh-	to direct attention to; vivacious
men(e)gh-, mon(e)gh-, mn̥gh-	many, copious, abundant, excessive
men(ə)k-	to knead
meng-	to make pretty, beautiful
meni-	minnow (or other type of fish)
mēnōt, genitive mēneses, from which mēnes-, mēns-, mēs-, mēn-	month; moon
1 menth-, meth-	to stir, swirl, mix up
2 menth-	to chew, eat
1 mer-	to plait, weave; rope
2 mer-	to flicker, shimmer
3 mer-, mor-(u-)	to blacken; dark color, dirt spot
4 mer-, merə-	to die
5 mer-, merə-	to rub, wipe; pack, rob
6 mer-, mer-s-	to anger, bother, disturb, etc.
merədh-, mrādh-	to boil, bubble up
mereg̑-	march, edge, border, frontier
meregh-	to soak, moisten, drizzle
1 merg̑-	to wipe off
2 merg̑-	to grab, seize
meri̯o-	young man/woman
merk̑-	to grab, seize
1 merk-, merg̑-, merək-, merəg̑-	to rot
2 merk-, mork-	vexed, sullen
mə-r, genitive mə-n-és, mn̥tós	hand
met-	to reap, measure
1 meu-, meu̯ə- : mū̆-	wet, damp; to wash; dirt, mud, mire
2 meu̯-, meu̯ə-	to move, push away
mēudh-, məudh-, mūdh-	to complain, care about, be intent
1 meug-	to lie in wait, take by surprise; wily
2 meug-, meuk-	to slip, slide; meek
meuk̑-	to tear, slit, scratch
meu-s-	to steal
1 mezg-	to dive, plunge, immerse
2 mezg-	to bind, knit, knot, attach
mizdhó-	fee, pay, meed, reward
mō-, mo-lo-	to strain, trouble oneself
mōd- : məd-, or mād- : məd-	to meet, approach
modhro-, or madhro-	blue; madder
moiso-s, or maiso-s	sheep; hide, pelt, leatherwork
mok̑s, Indo-Iranian *mok̑sū̆	soon
molko-	pouch, leather bag
mono-	neck; mane
mori, mōri	mere, sea
mormor-, murmur-	to murmur (dully)
mormo(ro)-	fear, dread, horror
moro-	murrey, mulberry, blackberry
moru̯ī̆-	maur, mire, ant
mo[u]-lo- : mū-lo-	root, plant
mō[u]-ro- : mū-ro-	crazy, stupid
moz-g-o-, moz-g-en-, mos-k-o-	brain
mozg̑ho-s	young cattle
mrk-	more, carrot, edible root
mregh-m(n)o-	brain, skull
mreg̑hu-, mr̥g̑hu-	brief, short
1 mū̆-	(onomatopoeic: to moo, hum, etc.)
2 mū-, mus-	fly, gnat, midge, muscid, mosquito
mū̆k-	heap, etc.
mūs	mouse; muscle
mut-o-s	trimmed, stunted, circumcised, mutilated
1 nā-	to help, be useful
2 nā-	to be afraid, ashamed
nāgu̯h-	sober?
nak-	fur, pelt
nana, nena	nana (nursery word: (grand)mother, etc.)
nant-	to dare, risk
nas-	nose
1 nāus-	boat, ship
2 nāu- : nəu- : nū-	death; corpse
1 nĕ, nē, nei	(negative particle: no, etc.)
2 ne, nē	that (enclitic particle)
3 ne-, nō-, plural nē̆s-, nō̆s-	we
1 nebh-	to burst
2 nebh-	wet, damp; clouds; water
1 ned- : ned-	to net, bind, connect, roll up, twist together
2 ned-	to roar, sound, bellow
nedo-	reed
neg̑h-	to bore, pierce, stab, stick
1 nei-, neiə- : nī-	to lead
2 nei-, neiə-, nī-	to be moved, excited; to shine
3 nei-, ni-	in
1 neid-	to scold, shame, abuse
2 neid- : nid-	to flow; stream
neigu̯-	to wash
neik-	to winnow (grain)
nēik- : nīk- : nik-	to rail, fight, assault
nek̑-	death, dying, necrosis; corpse
neku̯-(t-), noku̯-t-s	night
1 nem-	to nim, take, give, count, apportion
2 nem-	to bend
nepōt-	nephew; grandchild
1 ner(-t)-, aner-, əner-?	vital force; man
2 ner-	below, under
3 ner-	to penetrate; hiding place, hollow
nes-	to unite; be concealed
ni-, nei-	in
nē-tr-, nə-tr-	snake, adder
1 neu-	to call, praise
2 neu-	to push (someone); to nod
neu-d-	to grasp, make use of
neu-dh-	to lust, desire, yearn for
neuk-	dark, unclear, indistinct
neu-ks-, neu-s-	to scent, smell, sniff
neu̯os, neu̯i̯os	new
niz-do-	nest
no-	that
nogu̯-, nogu̯od(h)o-, nogu̯-no-	nude, naked
nogu̯o-, or nagu̯o-	tree
